artist,track_name
Coldplay,Yellow
Hozier,Take Me To Church
Mazzy Star,Fade Into You
The Goo Goo Dolls,Iris
Tame Impala,The Less I Know The Better
Radiohead,Creep
Linkin Park,Numb
David Bowie,Starman
Eminem,Just Lose It
Rihanna,Where Have You Been
Keane,Somewhere Only We Know
Kanye West,Bound 2
Coldplay,Sparks
Linkin Park,In the End
Zara Larsson,Lush Life
Michael Jackson,Bad
Michael Jackson,Smooth Criminal
SCH,Morpheus
Tom Odell,Another Love
Coldplay,Viva La Vida
The Neighbourhood,Sweater Weather
Lord Huron,The Night We Met
Patrick Watson,Je te laisserai des mots
Rihanna,Don't Stop The Music
Gorillaz,Feel Good Inc.
The Police,Every Breath You Take
Varius Manx,Pocaluj noc (Do ciebie)
Cigarettes After Sex,Apocalypse
Shakira,Je l'aime à mourir
GIMS,Est-ce que tu m'aimes ? - Pilule bleue
Michael Jackson,Speed Demon
Eminem,Forgot About Dre
Eminem,The Real Slim Shady - Edited
Rihanna,Breakin' Dishes
Michael Jackson,Another Part Of Me - Michael Jackson's Vision
Vance Joy,Riptide
Eminem,My Name Is
Beyoncé,Crazy In Love
Charli xcx,You (Ha Ha Ha)
BTS,FIRE
Megha Chatterji,Mere Naseeb Mein.... Baby H
Rod Stewart,I Don't Want To Talk About It (feat. Amy Belle) - from One Night Only! Rod Stewart Live at Royal Albert Hall
Tom Odell,"Another Love - Live from Top of the Pops: Christmas Special, 2013"
Lisa Stansfield,All Around the World
Anna Kendrick,Cups (Pitch Perfect’s “When I’m Gone”) - Director's Cut / Closed-Captioned
Fleetwood Mac,Dreams - 2004 Remaster
BTS,DNA
Sia,Breathe Me - Live at the London Roundhouse
M-Kids,Megamix
Paul Anka,"Down By The Riverside - Live On The Ed Sullivan Show, December 17, 1961"
Black Eyed Peas,I Gotta Feeling
Natasha Bedingfield,Unwritten
Gotye,Somebody That I Used to Know
Eminem,Mockingbird
Coolio,Gangsta's Paradise
Radiohead,Let Down
Eurythmics,Sweet Dreams (Are Made of This) - 2005 Remaster
Pitbull,Give Me Everything (feat. Nayer)
Lana Del Rey,Young And Beautiful
The Fray,How to Save a Life
The Killers,Mr. Brightside
Nirvana,Smells Like Teen Spirit
OneRepublic,Counting Stars
Amy Macdonald,This Is The Life
David Guetta,Titanium (feat. Sia)
TOTO,Africa
Adele,Someone Like You
Coldplay,The Scientist
Arctic Monkeys,I Wanna Be Yours
Lady Gaga,Just Dance
Rihanna,We Found Love
R.E.M.,Losing My Religion
Fleetwood Mac,The Chain - 2004 Remaster
Aya Nakamura,Comportement
Harry Styles,Two Ghosts - live in studio
Dire Straits,Sultans Of Swing
Red Hot Chili Peppers,Californication - Intro; Live at Slane Castle
Beyoncé,He Still Loves Me
Michael Jackson,The Way You Make Me Feel
Eminem,Lose Yourself - Live At The Grammys / 2003
Travis Scott,Quintana
Gorillaz,DARE - Live in Harlem
Creedence Clearwater Revival,"Good Golly Miss Molly - Live On The Ed Sullivan Show, March 9, 1969"
Ed Sheeran,Perfect (with Andrea Bocelli)
Metallica,Am I Evil? - Metallica - The Big Four: Live From Sonisphere / 2010
Slipknot,The Nameless
Foo Fighters,"My Hero - Live At Wembley Stadium, 2008"
Beyoncé,Sweet Dreams
BTS,N.O
2Pac,Ghetto Gospel
BTS,Save ME
BTS,Dope
Lady Gaga,G.U.Y. - An ARTPOP Film
BTS,Spring Day
Mumford & Sons,There Will Be Time - Live in South Africa
Eminem,Guilty Conscience - Director's Cut
BTS,Blood Sweat & Tears
Sia,Soon We'll Be Found - Live at the London Roundhouse
Dire Straits,"Brothers In Arms - On The Night / Live In Rotterdam, Netherlands / 31st May 1992"
Britney Spears,Slumber Party feat. Tinashe (feat. Tinashe)
Lukas Graham,7 Years
Damso,Θ. Macarena
JAY-Z,Empire State Of Mind
Adele,Skyfall
Twenty One Pilots,Stressed Out
John Legend,All of Me
Kesha,TiK ToK
Harry Styles,Kiwi - live in studio
Milky Chance,Stolen Dance
Bill Withers,Ain't No Sunshine
Drake,One Dance
The Weeknd,Starboy
Empire Of The Sun,Walking On A Dream
a-ha,Take on Me
Evanescence,Bring Me To Life
Adele,Set Fire to the Rain
Florence + The Machine,Dog Days Are Over
The Verve,Bitter Sweet Symphony - Remastered 2016
Lady Gaga,Poker Face
Chris Isaak,Wicked Game
Nelly Furtado,Promiscuous
The Rolling Stones,Wild Horses - Live
Timbaland,The Way I Are
System Of A Down,B.Y.O.B.
Led Zeppelin,Whole Lotta Love
Amr Diab,Wayah
Daft Punk,Short Circuit
Chris Brown,No Bullshit
Guns N' Roses,Live And Let Die - Live
Jennifer Lopez,Jenny from the Block
Primus,The Devil Went Down To Georgia
Black Eyed Peas,Imma Be Rocking That Body
Michael Jackson,Come Together
Bon Jovi,Hallelujah - Stripped
Daft Punk,Rollin' & Scratchin' - Live in L.A.
Slipknot,Wait and Bleed
2Pac,Changes
Frank Sinatra,"Fly Me To The Moon - Live At The Kiel Opera House, St. Louis, MO/1965"
Lady A,Need You Now - Live
Empire Of The Sun,We Are The People - Live At The Sydney Opera House / 2013
Etta James,I Just Want To Make Love To You - Live
BTS,Not Today
Daddy Yankee,Somos de Calle - Remix
Maroon 5,Wake Up Call - Directors Cut
P!nk,"Get the Party Started (feat. Redman) - from Live from Wembley Arena, London, England"
Harry Styles,Sign of the Times
4 Non Blondes,What's Up?
Radiohead,No Surprises
Bruno Mars,When I Was Your Man
Eminem,Love The Way You Lie
GIMS,J'me tire
Franz Ferdinand,Take Me Out
Ozzy Osbourne,Changes
Billy Joel,Piano Man
Indila,Dernière danse
Elton John,I'm Still Standing
Ed Sheeran,Perfect
James Arthur,Say You Won't Let Go
Red Hot Chili Peppers,Under the Bridge
Gnarls Barkley,Crazy
Calvin Harris,Outside (feat. Ellie Goulding)
Coldplay,A Sky Full of Stars
Ed Sheeran,Shape of You
Avicii,Wake Me Up
Tears For Fears,Everybody Wants To Rule The World
Michael Jackson,Billie Jean
Nickelback,How You Remind Me
The Rolling Stones,Angie - Live
Portugal. The Man,Feel It Still
Coldplay,Clocks
Spandau Ballet,Gold
Shakira,"Whenever, Wherever - Live"
Rihanna,Only Girl (In The World)
James Arthur,Say You Won't Let Go - Acoustic Version
Thalia,No No No
Tom Odell,No Bad Days Tour
Roberto Carlos,À Distância - Primera Fila - En Vivo
Roberto Carlos,Detalhes - Primera Fila - En Vivo
JAY-Z,'03 Bonnie & Clyde
Fleetwood Mac,Everywhere - 2017 Remaster
Phil Collins,"Easy Lover - Live at Waldbühne, Berlin, Germany, 7/15/1990"
Zezé Di Camargo & Luciano,Tão Linda e Tão Louca - Ao Vivo
Metallica,St. Anger
50 Cent,Outta Control
Childish Gambino,Heartbeat - Super Clean Version
Rage Against The Machine,Killing In the Name
Bob Dylan,Tangled Up In Blue
