artist,track_name
Daft Punk,One More Time
Daft Punk,Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers]
Daft Punk,Instant Crush (feat. Julian Casablancas)
Daft Punk,Get Lucky (feat. Pharrell Williams and Nile Rodgers)
Daft Punk,Around the World
Daft Punk,"Harder, Better, Faster, Stronger"
Daft Punk,Something About Us
Daft Punk,Veridis Quo
Daft Punk,Lose Yourself to Dance (feat. Pharrell Williams)
Daft Punk,Digital Love
Adele,Re Rata Hare Ka Bona
Adele,Jehova Motsamaye
Adele,Uma sithe sathandana
Adele,Ea u pate dilo
Adele,Ndikhokhele
Adele,Bokang Modima
Adele,Intando Emnandi
Adele,Inkosi Ifikile Emnyango
Adele,Ha Le Mpotsa
Adele,Empa Hofedile
The Weeknd,"One Of The Girls (with JENNIE, Lily Rose Depp)"
The Weeknd,Timeless (feat Playboi Carti)
The Weeknd,Blinding Lights
The Weeknd,Starboy
The Weeknd,Die For You
The Weeknd,The Hills
The Weeknd,Save Your Tears (Remix) (with Ariana Grande) - Bonus Track
The Weeknd,Save Your Tears
The Weeknd,Call Out My Name
The Weeknd,São Paulo (feat. Anitta)
Drake,One Dance
Drake,Headlines
Drake,Passionfruit
Drake,NOKIA
Drake,God's Plan
Drake,Not You Too (feat. Chris Brown)
Drake,Which One (feat. Central Cee)
Drake,She Will
Drake,WAIT FOR U (feat. Drake & Tems)
Drake,DIE TRYING
Billie Eilish,BIRDS OF A FEATHER
Billie Eilish,WILDFLOWER
Billie Eilish,ocean eyes
Billie Eilish,lovely (with Khalid)
Billie Eilish,CHIHIRO
Billie Eilish,when the party's over
Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]"
Billie Eilish,Happier Than Ever
Billie Eilish,Guess featuring billie eilish
Billie Eilish,TV
Eminem,Without Me
Eminem,Mockingbird
Eminem,Love The Way You Lie
Eminem,Lose Yourself
Eminem,The Real Slim Shady
Eminem,Till I Collapse
Eminem,The Monster
Eminem,Superman
Eminem,Stan
Eminem,Godzilla (feat. Juice WRLD)
Coldplay,Yellow
Coldplay,Sparks
Coldplay,Viva La Vida
