artist,track_name,mbid,danceability_prob,danceability_value,gender_prob,gender_value,genre_dortmund_prob,genre_dortmund_value,genre_electronic_prob,genre_electronic_value,genre_rosamerica_prob,genre_rosamerica_value,genre_tzanetakis_prob,genre_tzanetakis_value,ismir04_rhythm_prob,ismir04_rhythm_value,mood_acoustic_prob,mood_acoustic_value,mood_aggressive_prob,mood_aggressive_value,mood_electronic_prob,mood_electronic_value,mood_happy_prob,mood_happy_value,mood_party_prob,mood_party_value,mood_relaxed_prob,mood_relaxed_value,mood_sad_prob,mood_sad_value,moods_mirex_prob,moods_mirex_value,timbre_prob,timbre_value,tonal_atonal_prob,tonal_atonal_value,voice_instrumental_prob,voice_instrumental_value
Daft Punk,Get Lucky (feat. Pharrell Williams and Nile Rodgers),3cd1aed4-1a9e-48a0-b174-8c7289d2ca99,0.8771930933,danceable,0.964331686497,male,0.873614490032,electronic,0.461681306362,ambient,0.323625504971,pop,0.313974827528,jaz,0.335863173008,VienneseWaltz,0.982072412968,not_acoustic,0.526535987854,aggressive,0.716874778271,electronic,0.976920306683,not_happy,0.788658738136,party,0.753443837166,not_relaxed,0.880391955376,not_sad,0.585064828396,Cluster5,0.988925874233,dark,0.918066382408,atonal,0.733633637428,instrumental
Daft Punk,"Harder, Better, Faster, Stronger",e00bb9fe-f439-480d-ba25-47c625c9840b,0.591991841793,danceable,0.572331905365,female,0.930858969688,electronic,0.4263625741,house,0.361315488815,pop,0.313974827528,jaz,0.296022474766,ChaChaCha,0.810807108879,acoustic,0.527374923229,not_aggressive,0.915633440018,electronic,0.858257174492,not_happy,0.597522139549,party,0.80018466711,relaxed,0.786449730396,not_sad,0.466938614845,Cluster5,0.96175557375,dark,0.848000586033,atonal,0.854799389839,instrumental
Daft Punk,Something About Us,4996a019-cfa6-44b2-8305-b9dffc5733ff,0.887184619904,danceable,0.551374554634,female,0.924140274525,electronic,0.616146326065,house,0.489410579205,pop,0.313974827528,jaz,0.476405024529,ChaChaCha,0.929441332817,not_acoustic,0.622866749763,not_aggressive,0.770478367805,electronic,0.558440804482,happy,0.733998060226,party,0.632555425167,not_relaxed,0.714513599873,not_sad,0.340824633837,Cluster2,0.894480586052,bright,0.903340220451,atonal,0.996948361397,instrumental
Drake,God's Plan,841bb140-860a-44d6-b212-84ffeb7d8fdc,0.995114862919,danceable,0.838244259357,female,0.999322712421,electronic,0.44399830699,house,0.902134954929,hip,0.305054485798,roc,0.340388387442,VienneseWaltz,0.990495204926,not_acoustic,0.993512928486,not_aggressive,0.96088039875,electronic,0.888862907887,not_happy,0.605281054974,party,0.589881718159,relaxed,0.656309068203,not_sad,0.622121989727,Cluster5,0.830932855606,dark,0.974781632423,atonal,0.892185807228,voice
Drake,Not You Too (feat. Chris Brown),d9020bff-5325-43da-9465-25f8b5e2f79f,0.598668813705,danceable,0.964654564857,male,0.992804884911,electronic,0.684271395206,ambient,0.766515672207,rhy,0.318289935589,jaz,0.319348812103,Tango,0.929839253426,not_acoustic,1.0,not_aggressive,0.968797504902,electronic,0.828000605106,not_happy,0.988507032394,not_party,0.811554133892,relaxed,0.552620947361,sad,0.296215623617,Cluster3,0.855574548244,dark,0.964598655701,atonal,0.997355937958,voice
Drake,She Will,9ce9a47d-2cd7-42f4-9b8b-27bb2c40b31d,0.99996984005,danceable,0.655090272427,female,0.999953567982,electronic,0.813798427582,trance,0.426868140697,hip,0.313974827528,jaz,0.228220880032,ChaChaCha,0.997458457947,not_acoustic,0.848638772964,not_aggressive,0.865995407104,electronic,0.598789691925,happy,0.686617970467,party,0.507822036743,relaxed,0.74272108078,not_sad,0.382777363062,Cluster5,0.562415897846,bright,0.98394459486,atonal,0.9264793396,voice
Billie Eilish,when the party's over,ba7a88da-f864-4ead-9a63-36f92d10de46,0.993185937405,not_danceable,0.835667431355,female,0.904115855694,electronic,0.954822957516,ambient,0.455660879612,rhy,0.354596078396,roc,0.280565351248,Tango,0.980028271675,acoustic,0.99999165535,not_aggressive,0.948756754398,not_electronic,0.927183747292,not_happy,0.990870893002,not_party,0.979156196117,relaxed,0.878195226192,sad,0.633691191673,Cluster3,0.726025521755,bright,0.664975702763,tonal,0.998079776764,voice
Billie Eilish,Happier Than Ever,24134481-599d-4e30-bffd-3080739f3d58,0.645207762718,not_danceable,0.715484321117,female,0.999973416328,electronic,0.469057410955,house,0.789446771145,rhy,0.302772670984,roc,0.599616706371,VienneseWaltz,0.914294421673,not_acoustic,0.970483243465,not_aggressive,0.51797503233,electronic,0.707966566086,not_happy,0.89089936018,not_party,0.963647484779,relaxed,0.52132999897,not_sad,0.338112980127,Cluster5,0.918213546276,dark,0.944045066833,atonal,0.822978615761,voice
Eminem,The Real Slim Shady,19a35f90-6d5f-485c-a23a-2d299b87fbae,0.883440196514,danceable,0.653074979782,male,0.989125072956,electronic,0.788183093071,house,0.540567159653,rhy,0.313974827528,jaz,0.782756209373,ChaChaCha,0.824119567871,not_acoustic,0.75772613287,not_aggressive,0.897263884544,electronic,0.739545941353,happy,0.881225705147,party,0.820970356464,relaxed,0.650245666504,sad,0.271418571472,Cluster3,0.956609070301,bright,0.984877109528,atonal,0.887444019318,voice
Eminem,Till I Collapse,24a4a114-d8bd-4b36-8b51-51e94e73b780,0.985189914703,danceable,0.582776129246,male,0.987981855869,electronic,0.770357310772,house,0.591690182686,hip,0.769169807434,jaz,0.961371302605,ChaChaCha,0.995835661888,not_acoustic,0.814352929592,aggressive,0.961527645588,electronic,0.938900470734,not_happy,0.885576605797,party,0.989115297794,not_relaxed,0.937655031681,not_sad,0.433012783527,Cluster5,0.946766197681,dark,0.999999880791,atonal,0.627179026604,instrumental
Eminem,Superman,9f41ff31-d86e-4a8a-bf05-22e132f99d85,0.996263504028,danceable,0.782503783703,female,0.996805429459,electronic,0.698317885399,trance,0.499331861734,dan,0.302779436111,jaz,0.229203656316,ChaChaCha,0.948987185955,not_acoustic,0.904234528542,not_aggressive,0.83402132988,electronic,0.665005862713,not_happy,0.829106986523,party,0.836933135986,not_relaxed,0.721692621708,not_sad,0.500697135925,Cluster5,0.540315568447,bright,0.857409894466,atonal,0.513494968414,instrumental
Eminem,Stan,888d13a8-5bbb-44d8-b3c9-5c3812020110,0.795232176781,danceable,0.892760455608,female,0.538611769676,electronic,0.600305736065,ambient,0.446718007326,rhy,0.313974827528,jaz,0.266575962305,ChaChaCha,0.619383215904,acoustic,0.969770610332,not_aggressive,0.553483426571,not_electronic,0.744823694229,not_happy,0.556373119354,party,0.545622169971,relaxed,0.521011590958,not_sad,0.300342321396,Cluster2,0.680367767811,bright,0.526274859905,atonal,0.979455649853,voice
Coldplay,A Sky Full of Stars,c167bc99-1bb7-4586-b7df-36cc8c320568,0.952412009239,danceable,0.827706456184,female,0.95415699482,electronic,0.689815819263,ambient,0.34104642272,pop,0.302630752325,roc,0.448667764664,VienneseWaltz,0.548872828484,not_acoustic,0.994232475758,not_aggressive,0.804558336735,not_electronic,0.76692956686,not_happy,0.833470761776,not_party,0.856551587582,relaxed,0.559127032757,sad,0.345710039139,Cluster2,0.867390871048,bright,0.960466861725,tonal,0.549972236156,instrumental
Coldplay,Fix You,d8e34ddd-ca5a-4a25-8274-a2c88a50b702,0.862940073013,not_danceable,0.986034095287,male,0.988613903522,electronic,0.659454882145,ambient,0.478420168161,pop,0.313974827528,jaz,0.500551939011,VienneseWaltz,0.825396120548,not_acoustic,0.934084832668,not_aggressive,0.586005032063,not_electronic,0.661598920822,happy,0.661021053791,not_party,0.976927638054,relaxed,0.665478646755,not_sad,0.371464848518,Cluster3,0.692729175091,bright,0.678856909275,tonal,0.910321474075,voice
Beyoncé,Halo,082d9f77-769c-499c-b46b-43e406f2d916,0.952442705631,not_danceable,0.99847972393,female,0.529605388641,folkcountry,0.964564025402,ambient,0.576031923294,jaz,0.313974827528,jaz,0.484952718019,VienneseWaltz,0.993322372437,acoustic,0.995321393013,not_aggressive,0.985368907452,not_electronic,0.729715228081,happy,0.975148797035,not_party,0.856080114841,relaxed,0.614999711514,sad,0.390787482262,Cluster3,0.950327992439,bright,0.915056109428,tonal,0.922309339046,voice
Beyoncé,All Night,500a24ed-bc95-4079-9b57-0b1258b09f0b,0.657477319241,danceable,0.998259365559,female,0.998462796211,electronic,0.559851527214,ambient,0.635756790638,rhy,0.313974827528,jaz,0.813264429569,VienneseWaltz,0.587289452553,acoustic,0.994910299778,not_aggressive,0.621278643608,electronic,0.562500596046,happy,0.757281899452,not_party,0.559693396091,not_relaxed,0.565866291523,not_sad,0.326236635447,Cluster5,0.728306293488,bright,0.658015549183,atonal,0.592841565609,voice
