artist,track_name,mbid
Daft Punk,One More Time,0cbd2007-1b7c-4d05-84b1-25ecb6ec0b7d
Daft Punk,Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],97c21330-5552-41db-ba0d-249f4c833267
Daft Punk,Instant Crush (feat. Julian Casablancas),bea2156a-6e1b-4505-91f6-167cc067df55
Daft Punk,Get Lucky (feat. Pharrell Williams and Nile Rodgers),3cd1aed4-1a9e-48a0-b174-8c7289d2ca99
Daft Punk,Around the World,734bc44e-53f5-4fe2-a32e-4c5bbe05605c
Daft Punk,"Harder, Better, Faster, Stronger",e00bb9fe-f439-480d-ba25-47c625c9840b
Daft Punk,Something About Us,9ee5a45a-ad64-403f-966a-dc4930b4b079
Daft Punk,Veridis Quo,06515e28-7a02-4b52-843d-369a923e5211
Daft Punk,Lose Yourself to Dance (feat. Pharrell Williams),bf4dcbc4-3599-463f-9757-a8d84586febb
Daft Punk,Digital Love,e11de9d9-1bc1-4f44-a366-edab15794a56
Adele,Re Rata Hare Ka Bona,58c99057-9f4b-42dd-abd8-3232f266acc2
Adele,Jehova Motsamaye,e177acf2-6bec-488c-a467-1dd29138e81b
Adele,Uma sithe sathandana,42a58caa-32f6-4955-8532-b576f3d6b75e
Adele,Ea u pate dilo,2dacc8c5-49d7-4146-816f-a0b38f3d6019
Adele,Ndikhokhele,665c70f6-be51-4b26-98ea-40e21ce725ae
Adele,Bokang Modima,5738f4ea-43c9-4865-837d-9df87da8e133
Adele,Intando Emnandi,77f23e7c-3011-4787-a262-333571dc512f
Adele,Inkosi Ifikile Emnyango,e41db375-48f3-4770-a4c0-0aa19620de48
Adele,Ha Le Mpotsa,da322c4d-e8be-4289-930d-558bc343421c
Adele,Empa Hofedile,9dbaa618-5c33-4307-9c3f-7525782ed958
The Weeknd,"One Of The Girls (with JENNIE, Lily Rose Depp)",0296d983-5440-419e-ace9-7adb81c695b7
The Weeknd,Timeless (feat Playboi Carti),5ca016bf-ddb2-472d-abe5-20f31006567e
The Weeknd,Blinding Lights,f6f6532a-1d52-47e2-af35-703c3773d85a
The Weeknd,Starboy,1b949f05-f0b1-4b1e-8014-18235627e28a
The Weeknd,Die For You,fc251bae-e606-466a-a554-3ade762ba70d
The Weeknd,The Hills,f27a42bb-f67a-455d-be3c-23ed39cf98e1
The Weeknd,Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,0f431b3e-ddb0-4cea-9b32-e59d47b1ae8c
The Weeknd,Save Your Tears,fbf4ba44-621c-42c4-b9df-1c22a5b8109a
The Weeknd,Call Out My Name,913bad70-ff58-411b-bcdc-285531c399a0
The Weeknd,São Paulo (feat. Anitta),5268a07a-80d2-461d-af4e-234e3d920b88
Drake,One Dance,9180a484-08fe-4e37-b756-defa8e4132d6
Drake,Headlines,263560ff-c9da-4498-8da5-1800241f8799
Drake,Passionfruit,78c2466b-7940-40d0-8b89-7c1d57aca98e
Drake,NOKIA,719f40b5-c559-44ed-8b9e-c2609815c647
Drake,God's Plan,841bb140-860a-44d6-b212-84ffeb7d8fdc
Drake,Not You Too (feat. Chris Brown),764cdd9d-b32d-4dfb-9624-c91fccc04888
Drake,Which One (feat. Central Cee),77a6bbf7-8cff-4d42-a80e-47df44576389
Drake,She Will,13c15cb3-c6b4-4ba2-b253-5e1ee7bebcaa
Drake,WAIT FOR U (feat. Drake & Tems),9cb6c78b-f2e3-48ca-9f20-a83edbc23440
Drake,DIE TRYING,82e1dcb0-7727-4049-8850-43be614561dd
Billie Eilish,BIRDS OF A FEATHER,84b630bd-01b8-4551-9f17-3ca9bd2800c2
Billie Eilish,WILDFLOWER,5afa33bb-83f6-42c6-b789-8bfa34c48b50
Billie Eilish,ocean eyes,66009d92-7f29-4557-89f7-76770d180bf2
Billie Eilish,lovely (with Khalid),f234c158-abfb-4a72-b25f-cf8b0e088464
Billie Eilish,CHIHIRO,00643cba-44f4-4a27-b411-9c680349648f
Billie Eilish,when the party's over,c3db7bfe-c83c-413e-9596-07007532d0b6
Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]",74c2e388-4e59-4ed1-8c97-f3fd3317323d
Billie Eilish,Happier Than Ever,4dc07ebc-1958-4127-906b-29d0b11f9886
Billie Eilish,Guess featuring billie eilish,d09eb956-8156-45ca-b5a1-720d36ed51d1
Billie Eilish,TV,a83dd452-6962-4f94-ad7c-2467ba74bc71
Eminem,Without Me,0d32aa85-e4f1-429b-8e83-e623877313e8
Eminem,Mockingbird,badebed5-e36e-4a9e-a496-456810fedfb2
Eminem,Love The Way You Lie,1e83d2ff-ee1a-4c41-98df-92a376b9e2f9
Eminem,Lose Yourself,83829a95-18a1-4df8-b390-d51ca9e93257
Eminem,The Real Slim Shady,19a35f90-6d5f-485c-a23a-2d299b87fbae
Eminem,Till I Collapse,d1c1a725-dfb6-408c-bc9d-6f9359adc862
Eminem,The Monster,b71b5926-bc37-4af2-b699-992de6d58219
Eminem,Superman,23e6fe6f-890b-4ed2-9992-73774b594906
Eminem,Stan,888d13a8-5bbb-44d8-b3c9-5c3812020110
Eminem,Godzilla (feat. Juice WRLD),bc0dd8cb-633f-4b5b-a05a-c8d0e6c0f38a
Coldplay,Yellow,22e84ec5-93bd-4441-8246-7e439a6c9090
Coldplay,Sparks,fdac2553-b2ba-48ad-be02-7fb5a8b4747a
Coldplay,Viva La Vida,4a85ce11-4042-4aeb-82e9-fc10cb0f08a2
Coldplay,The Scientist,0b603e80-1763-4d87-9805-8c33487f0ad1
Coldplay,Something Just Like This,b043dc78-7c4c-4db2-9f6f-d4318b585c26
Coldplay,A Sky Full of Stars,c167bc99-1bb7-4586-b7df-36cc8c320568
Coldplay,Fix You,f5df50a2-ecb9-4a30-a80b-bb9d8552bac8
Coldplay,Clocks,efba966e-7f48-4313-b256-af6099235312
Coldplay,Paradise,63cac395-cf27-47c7-b44a-fd0b849b647d
Coldplay,Adventure of a Lifetime,db76b535-3f1c-4873-8e3d-d53c0cde17c9
Beyoncé,Crazy In Love (feat. JAY-Z),c16765ca-1641-460b-983f-a27add6e0031
Beyoncé,Halo,a7886626-e5b6-4f32-8595-037a2763737a
Beyoncé,All Night,500a24ed-bc95-4079-9b57-0b1258b09f0b
Beyoncé,Irreplaceable,8fc91e1d-9ba4-4a02-94d5-d0077700a04b
Beyoncé,TEXAS HOLD 'EM,9279fbf4-1d16-40a0-8cba-9a4927b49132
Beyoncé,Diva,c19ea99a-4ac8-4d3d-94e7-4f65b6a88bed
Beyoncé,If I Were a Boy,91e88a72-2c58-4356-a4a5-222e98ae4522
Beyoncé,Single Ladies (Put a Ring on It),92e37099-d566-41ce-9e67-af0063f00509
Beyoncé,Beautiful Liar,f9e5e997-5464-40dc-b02c-9edad6266b39
Beyoncé,Sweet Dreams,93115c6b-ded1-4d7d-ad32-9d425715aa05
Taylor Swift,The Fate of Ophelia,1d8c79f6-e255-4f31-9953-1c1139604ddd
Taylor Swift,Opalite,679eefcf-7d77-43e9-8921-df6433283cf2
Taylor Swift,Elizabeth Taylor,d1681430-4e37-48c6-8a27-d432dad64830
Taylor Swift,Father Figure,f5a38405-4b90-482d-8b82-ea5ffd913955
